id,username,email,password_hash,email_verified,is_active,account_locked,created_by_admin,created_at,updated_at
550e8400-e29b-41d4-a716-446655440000,admin,admin@example.com,$2a$10$ag7.aop/Vy.sMsqzbdr98.OhflBBAJjLqtA8KbTu7A/rCEkUeOSHu,true,true,false,false,2023-01-01T00:00:00,2023-01-01T00:00:00
550e8400-e29b-41d4-a716-446655440001,user01,user01@example.com,$2a$10$ja3PFMXJbpOJrAprYn4XYuZqrCz5ZRklYBDwwcysj4pb.0EE7buTi,true,true,false,false,2023-01-01T00:00:00,2023-01-01T00:00:00
550e8400-e29b-41d4-a716-446655440002,user02,user02@example.com,$2a$10$XGPp8o7M6r5udA/zV7sqZuLnfWmr0mC2fvoqVW.cVRc5AnYCmRQpS,true,true,false,false,2023-01-01T00:00:00,2023-01-01T00:00:00
550e8400-e29b-41d4-a716-446655440003,user03,user03@example.com,$2a$10$hBs06Bu60fx/WYGUBKL8AuSKTgrsVwvDotGm50AVFLoX39u.dya6W,true,true,false,false,2023-01-01T00:00:00,2023-01-01T00:00:00
550e8400-e29b-41d4-a716-446655440004,user04,user04@example.com,$2a$10$oEKH8ck1wVvD02pj.k.VjOwmUWZoHRLp7DvUPz4VYkdPlZ8FoE58u,true,true,false,false,2023-01-01T00:00:00,2023-01-01T00:00:00
550e8400-e29b-41d4-a716-446655440005,user05,user05@example.com,$2a$10$72xGLz/ztD7kS8elayEqxuY.tqx8y1kz.8ZaHFL8qzYEjNmR4mCgW,true,true,false,false,2023-01-01T00:00:00,2023-01-01T00:00:00
550e8400-e29b-41d4-a716-446655440006,user06,user06@example.com,$2a$10$VeE7WeOouy37xugaRSCYEeAowl0p70Rwue5pW5fGJCEysyuYAnRYq,true,true,false,false,2023-01-01T00:00:00,2023-01-01T00:00:00
550e8400-e29b-41d4-a716-446655440007,user07,user07@example.com,$2a$10$.O0J4qVw9OHVKjLswXiDQOBNkRpy5yuoNOy/xWUAw.hr2AT9MuUjK,true,true,false,false,2023-01-01T00:00:00,2023-01-01T00:00:00
550e8400-e29b-41d4-a716-446655440008,user08,user08@example.com,$2a$10$3zJyHB8x4Gn84xn1ZEquH.gylI2LrMmHpkkXFRLnyjIKZByQ3VB6e,true,true,false,false,2023-01-01T00:00:00,2023-01-01T00:00:00
550e8400-e29b-41d4-a716-446655440009,user09,user09@example.com,$2a$10$CuXClQTgrfoR.OlptZ3lMe.HtjU5k7fcHyAddRfEuL646SQU/h3zG,true,true,false,false,2023-01-01T00:00:00,2023-01-01T00:00:00
550e8400-e29b-41d4-a716-44665544000a,user10,user10@example.com,$2a$10$ag7.aop/Vy.sMsqzbdr98.OhflBBAJjLqtA8KbTu7A/rCEkUeOSHu,true,true,false,false,2023-01-01T00:00:00,2023-01-01T00:00:00
